totalyearlycompensation,yearsofexperience,yearsatcompany,is_female,is_faang,Data Scientist,Hardware Engineer,Product Designer,Product Manager,Software Engineer,Software Engineering Manager,Solution Architect,Technical Program Manager,education_enc,CA,MA,NY,WA
123000,14.0,6.0,0,0,0,0,0,0,0,0,1,0,4.0,0,0,0,0
136000,1.0,1.0,0,1,0,0,0,0,1,0,0,0,3.0,0,0,0,1
263000,2.0,1.5,0,0,0,0,0,0,1,0,0,0,3.0,1,0,0,0
240000,2.0,0.0,0,0,0,0,0,0,1,0,0,0,3.0,0,0,1,0
433000,6.0,0.0,0,0,0,0,0,0,1,0,0,0,3.0,0,0,0,1
210000,3.0,2.0,0,1,0,0,0,0,1,0,0,0,3.0,0,0,0,0
94000,3.0,2.0,0,0,0,1,0,0,0,0,0,0,3.0,0,1,0,0
160000,0.0,0.0,0,0,0,0,0,0,1,0,0,0,3.0,0,0,0,1
235000,6.0,3.0,0,1,0,1,0,0,0,0,0,0,3.0,1,0,0,0
149000,0.0,0.0,0,1,1,0,0,0,0,0,0,0,4.0,0,0,0,1
367000,5.0,0.0,0,0,0,0,0,0,1,0,0,0,3.0,1,0,0,0
250000,6.0,6.0,0,1,0,0,0,0,1,0,0,0,3.0,0,0,0,1
180000,12.0,1.0,0,0,0,0,0,1,0,0,0,0,3.0,1,0,0,0
156000,4.0,1.5,0,0,0,0,0,0,1,0,0,0,3.0,0,0,0,1
136000,0.0,0.3,0,0,0,0,0,0,1,0,0,0,3.0,0,0,0,1
175000,8.0,6.0,0,0,0,0,0,0,1,0,0,0,3.0,1,0,0,0
430000,12.0,0.0,0,0,0,0,0,0,1,0,0,0,3.0,1,0,0,0
340000,7.0,2.5,0,0,0,0,0,0,1,0,0,0,4.0,0,0,0,1
210000,10.0,1.0,0,0,0,0,0,0,1,0,0,0,3.0,0,0,0,1
217000,12.0,1.0,0,1,0,0,0,1,0,0,0,0,3.0,1,0,0,0
138000,2.0,2.0,0,0,0,0,0,0,1,0,0,0,3.0,1,0,0,0
267000,8.0,0.0,0,0,0,0,0,0,1,0,0,0,3.0,1,0,0,0
535000,27.0,0.0,0,1,0,0,0,0,1,0,0,0,4.0,1,0,0,0
174000,0.0,0.0,1,1,0,0,0,0,1,0,0,0,3.0,1,0,0,0
166000,3.0,2.0,0,0,0,0,0,0,1,0,0,0,3.0,1,0,0,0
379000,15.0,11.0,0,0,0,0,0,0,1,0,0,0,3.0,0,0,0,1
180000,7.0,7.0,0,0,0,0,0,0,0,0,1,0,4.0,1,0,0,0
360000,9.0,1.0,0,0,0,0,0,0,1,0,0,0,4.0,1,0,0,0
236000,2.0,0.0,0,1,0,0,0,0,1,0,0,0,3.0,1,0,0,0
185000,0.0,0.0,0,0,0,0,0,0,1,0,0,0,3.0,1,0,0,0
147000,3.0,3.0,0,0,0,0,0,0,1,0,0,0,3.0,1,0,0,0
125000,7.0,5.0,0,0,0,0,0,0,1,0,0,0,3.0,0,0,0,0
206000,2.0,0.0,0,1,0,1,0,0,0,0,0,0,4.0,1,0,0,0
556000,6.0,1.0,0,1,0,0,0,0,1,0,0,0,3.0,1,0,0,0
570000,15.0,1.0,0,1,0,0,0,0,1,0,0,0,3.0,1,0,0,0
85000,2.0,2.0,0,0,1,0,0,0,0,0,0,0,3.0,0,0,0,0
301000,6.0,3.0,0,0,0,0,0,0,1,0,0,0,3.0,1,0,0,0
210000,13.0,3.0,1,0,0,0,0,0,0,1,0,0,3.0,0,0,1,0
145000,9.0,5.0,1,0,0,0,0,1,0,0,0,0,3.0,1,0,0,0
201000,0.0,0.0,0,1,0,0,0,0,1,0,0,0,3.0,1,0,0,0
150000,15.0,4.0,0,0,0,0,0,0,1,0,0,0,3.0,0,0,0,0
235000,14.0,5.0,1,0,0,0,0,0,1,0,0,0,3.0,1,0,0,0
116000,2.0,1.0,1,0,0,0,0,0,1,0,0,0,3.0,0,1,0,0
208000,0.0,0.0,1,1,0,0,0,0,1,0,0,0,3.0,1,0,0,0
215000,14.0,5.0,0,0,0,0,0,0,1,0,0,0,3.0,1,0,0,0
100000,3.0,1.0,0,0,1,0,0,0,0,0,0,0,4.0,0,0,0,0
160000,8.0,4.0,1,0,0,0,0,1,0,0,0,0,3.0,0,0,0,0
530000,6.0,3.0,0,0,0,0,0,0,1,0,0,0,4.0,1,0,0,0
157000,3.0,3.0,1,0,0,0,1,0,0,0,0,0,3.0,1,0,0,0
95000,1.0,1.0,0,0,0,0,1,0,0,0,0,0,3.0,0,0,0,0
260000,11.0,2.0,1,0,0,0,0,0,1,0,0,0,3.0,1,0,0,0
215000,4.0,4.0,0,0,0,0,0,0,1,0,0,0,4.0,1,0,0,0
262000,0.0,0.0,0,0,1,0,0,0,0,0,0,0,3.0,0,0,0,1
230000,5.0,5.0,1,0,0,0,0,0,1,0,0,0,4.0,0,0,1,0
308000,7.0,1.0,1,0,0,0,0,1,0,0,0,0,3.0,0,0,0,1
450000,8.0,2.0,0,0,1,0,0,0,0,0,0,0,4.0,1,0,0,0
170000,1.0,1.0,0,0,0,0,0,0,1,0,0,0,3.0,0,0,1,0
190000,3.0,0.0,0,1,0,0,0,0,1,0,0,0,3.0,0,0,0,1
170000,8.0,1.0,0,0,0,0,0,0,1,0,0,0,3.0,0,1,0,0
158000,0.0,0.0,0,1,0,0,0,0,1,0,0,0,3.0,0,0,0,1
345000,20.0,5.0,0,0,0,1,0,0,0,0,0,0,3.0,1,0,0,0
152000,1.0,1.0,0,1,0,0,0,0,1,0,0,0,3.0,0,0,0,1
260000,7.0,7.0,0,1,0,0,0,1,0,0,0,0,3.0,0,0,0,1
165000,2.0,2.0,0,1,0,0,0,0,1,0,0,0,3.0,0,0,0,1
210000,6.0,2.0,0,0,0,0,0,0,1,0,0,0,3.0,1,0,0,0
186000,0.0,0.0,0,0,0,0,0,0,1,0,0,0,3.0,1,0,0,0
85000,4.0,3.0,0,0,0,0,0,1,0,0,0,0,3.0,0,0,0,0
300000,10.0,5.0,0,1,0,0,0,0,0,1,0,0,3.0,1,0,0,0
465000,6.0,3.0,0,1,1,0,0,0,0,0,0,0,3.0,1,0,0,0
260000,4.0,1.0,0,0,1,0,0,0,0,0,0,0,3.0,1,0,0,0
120000,3.0,0.5,0,0,0,0,0,0,1,0,0,0,3.0,0,0,0,0
750000,20.0,15.0,0,1,0,0,0,0,1,0,0,0,4.0,1,0,0,0
174000,3.0,0.0,0,1,0,0,0,0,1,0,0,0,3.0,0,0,0,1
257000,3.0,0.0,1,1,0,0,0,0,1,0,0,0,3.0,0,0,0,1
